,ID,,,,STUDY TITLE,,,,COMPKEY,,"UNITID/
UNITID2",,,"DIR
FLOW",LANE,START DATE,AMPK,,PMPK,AWDT,,ADT,,,"WEEK
DAYS",DAYS
,309122,,,,"12TH AVE S, N/O S GRAND ST",,,,1660,,00340/0170,,,S,STANDARD,17-Sep-2012,73,,78,728,,682,,,5,7
,309121,,,,"12TH AVE S, N/O S GRAND ST",,,,1660,,00340/0170,,,N,STANDARD,17-Sep-2012,74,,79,745,,699,,,5,7
,303711,,,,"12TH AVE S, N/O S JACKSON ST",,,,1653,,00340/0030,,,S,STANDARD,28-Jul-2011,454,,762,"7,450",,"6,966",,,5,7
,303714,,,,"12TH AVE S, N/O S KING ST",,,,1654,,00340/0040,,,S,STANDARD,28-Jul-2011,443,,869,"8,373",,"7,869",,,5,7
,307065,,,,"12TH AVE S, N/O S LUCILE ST",,,,1681,,00340/0530,,,TOTAL,STANDARD,15-Mar-2012,114,,103,837,,737,,,5,7
,310978,,,,"12TH AVE S, N/O S LUCILE ST",,,,1681,,00340/0530,,,TOTAL,STANDARD,22-Apr-2013,139,,108,965,,843,,,5,7
,310979,,,,"12TH AVE S, N/O S SHELTON ST",,,,1676,,00340/0490,,,TOTAL,STANDARD,22-Apr-2013,71,,98,542,,468,,,5,7
,303717,,,,"12TH AVE S, N/O S WELLER ST",,,,1655,,00340/0050,,,S,STANDARD,28-Jul-2011,377,,893,"7,957",,"7,401",,,5,7
,303828,,,,"12TH AVE S, S/O BOREN AVE S",,,,1652,,00340/0020,,,N,STANDARD,16-Aug-2011,769,,700,"8,422",,"7,694",,,5,7
,208793,,,,"12TH AVE S, S/O E YESLER WAY",,,,1651,,00340/0010,,,N,STANDARD,13-Feb-2006,637,,573,"6,334",,"5,703",,,5,7
,306594,,,,"12TH AVE S, S/O S ANGELINE ST",,,,1675,,00340/0480,,,TOTAL,STANDARD,28-Feb-2012,87,,101,554,,473,,,5,7
,303710,,,,"12TH AVE S, S/O S JACKSON ST",,,,1654,,00340/0040,,,N,STANDARD,28-Jul-2011,791,,591,"7,573",,"6,896",,,5,7
,303721,,,,"12TH AVE S, S/O S KING ST",,,,1655,,00340/0050,,,N,STANDARD,01-Aug-2011,872,,718,"8,842",,"7,952",,,5,7
,310792,,,,"12TH AVE S, S/O S VALE ST",,,,1682,,00340/0600,,,N,STANDARD,28-Mar-2013,46,,73,634,,568,,,5,7
,206316,,,,"12TH AVE S, S/O S WELLER ST",,,,1656,,00340/0060,,,N,STANDARD,09-Mar-2005,"1,066",,874,"10,186",,0,,,5,6
,206317,,,,"12TH AVE S, S/O S WELLER ST",,,,1656,,00340/0060,,,S,STANDARD,09-Mar-2005,564,,"1,007","9,683",,"8,883",,,5,7
,208979,,,,"12TH AVE S, S/O S WELLER ST",,,,1656,,00340/0060,,,N,STANDARD,01-Mar-2006,"1,099",,772,"9,727",,"8,615",,,5,7
,208980,,,,"12TH AVE S, S/O S WELLER ST",,,,1656,,00340/0060,,,S,STANDARD,01-Mar-2006,534,,"1,050","9,695",,"8,859",,,5,7
,211526,,,,"12TH AVE S, S/O S WELLER ST",,,,1656,,00340/0060,,,N,STANDARD,12-Mar-2007,993,,761,"9,348",,"8,325",,,5,7
,211527,,,,"12TH AVE S, S/O S WELLER ST",,,,1656,,00340/0060,,,S,STANDARD,12-Mar-2007,481,,"1,003","9,364",,"8,589",,,5,7
,213725,,,,"12TH AVE S, S/O S WELLER ST",,,,1656,,00340/0060,,,N,STANDARD,17-Mar-2008,"1,136",,714,"9,654",,0,,,5,5
,213726,,,,"12TH AVE S, S/O S WELLER ST",,,,1656,,00340/0060,,,S,STANDARD,17-Mar-2008,494,,"1,010","9,509",,"8,773",,,5,7
,216121,,,,"12TH AVE S, S/O S WELLER ST",,,,1656,,00340/0060,,,N,STANDARD,19-Mar-2009,898,,767,"9,132",,"8,353",,,5,7
,216133,,,,"12TH AVE S, S/O S WELLER ST",,,,1656,,00340/0060,,,S,STANDARD,19-Mar-2009,500,,"1,041","9,809",,"8,989",,,5,7
,218382,,,,"12TH AVE S, S/O S WELLER ST",,,,1656,,00340/0060,,,N,STANDARD,08-Mar-2010,"1,031",,984,"10,737",,"9,733",,,5,7
,218383,,,,"12TH AVE S, S/O S WELLER ST",,,,1656,,00340/0060,,,S,STANDARD,08-Mar-2010,579,,"1,003","9,616",,"8,746",,,5,7
,303744,,,,"12TH AVE S, S/O S WELLER ST",,,,1656,,00340/0060,,,TOTAL,STANDARD,15-Mar-2011,650,,"1,231","11,385",,"10,236",,,5,7
,302298,,,,"12TH AVE S, S/O S WELLER ST",,,,1656,,00340/0060,,,S,STANDARD,15-Mar-2011,429,,990,"8,532",,"7,634",,,5,7
,302297,,,,"12TH AVE S, S/O S WELLER ST",,,,1656,,00340/0060,,,N,STANDARD,15-Mar-2011,306,,247,"2,853",,"2,602",,,5,7
,310862,,,,"12TH AVE S, S/O S WELLER ST",,,,1656,,00340/0060,,,S,STANDARD,22-Mar-2013,386,,938,"8,442",,"7,832",,,5,7
,311894,,,,"12TH AVE S, S/O S WELLER ST",,,,1656,,00340/0060,,,N,STANDARD,26-Aug-2013,814,,618,"8,289",,"7,535",,,5,7
,310261,,,,"12TH AVE SW, N/O SW ROXBURY ST",,,,1709,,00345/0940,,,TOTAL,STANDARD,28-Feb-2013,39,,50,480,,467,,,5,7
,310260,,,,"12TH AVE SW, S/O SW THISTLE ST",,,,1704,,00345/0840,,,TOTAL,STANDARD,28-Feb-2013,29,,41,329,,315,,,5,7
,208713,,,,"12TH AVE, N/O E CHERRY ST",,,,1532,,00320/0070,,,S,STANDARD,31-Jan-2006,384,,510,"6,387",,"5,869",,,5,7
,214836,,,,"12TH AVE, N/O E COLUMBIA ST",,,,1533,,00320/0080,,,S,STANDARD,20-Aug-2008,384,,478,"5,949",,"5,494",,,5,7
,208717,,,,"12TH AVE, N/O E JEFFERSON ST",,,,1529,,00320/0050,,,S,STANDARD,31-Jan-2006,329,,453,"5,532",,"5,037",,,5,7
