Precinct,Race,LEG,CC,CG,CounterGroup,Party,CounterType,SumOfCount
AUB 31-0049,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Registered Voters,465
AUB 31-0049,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Times Blank Voted,0
AUB 31-0049,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Times Counted,146
AUB 31-0049,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Times Over Voted,0
AUB 31-0049,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Yes,31
AUB 31-0050,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,No,107
AUB 31-0050,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Registered Voters,433
AUB 31-0050,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Times Blank Voted,0
AUB 31-0050,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Times Counted,139
AUB 31-0050,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Times Over Voted,0
AUB 31-0050,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Yes,32
AUB 31-0051,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,No,98
AUB 31-0051,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Registered Voters,517
AUB 31-0051,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Times Blank Voted,0
AUB 31-0051,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Times Counted,122
AUB 31-0051,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Times Over Voted,0
AUB 31-0051,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Yes,24
AUB 31-0054,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,No,117
AUB 31-0054,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Registered Voters,512
AUB 31-0054,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Times Blank Voted,1
AUB 31-0054,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Times Counted,149
AUB 31-0054,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Times Over Voted,0
AUB 31-0054,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Yes,31
AUB 31-0058,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,No,98
AUB 31-0058,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Registered Voters,292
AUB 31-0058,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Times Blank Voted,1
